video_path,label,video_id,dataset,qwen_keep_ratio,qwen_precheck_conf,charades_video_id,action_id,start_s,end_s
SSv2/20bn-something-something-v2/122127.webm,Pushing something so that it slightly moves,122127,ssv2,,,,,,
SSv2/20bn-something-something-v2/179723.webm,Pushing something onto something,179723,ssv2,,,,,,
SSv2/20bn-something-something-v2/50680.webm,Showing that something is empty,50680,ssv2,,,,,,
SSv2/20bn-something-something-v2/122368.webm,"Putting something, something and something on the table",122368,ssv2,,,,,,
SSv2/20bn-something-something-v2/180345.webm,Pushing something so that it falls off the table,180345,ssv2,,,,,,
SSv2/20bn-something-something-v2/27983.webm,Unfolding something,27983,ssv2,,,,,,
SSv2/20bn-something-something-v2/215722.webm,Lifting up one end of something without letting it drop down,215722,ssv2,,,,,,
SSv2/20bn-something-something-v2/79151.webm,Something colliding with something and both are being deflected,79151,ssv2,,,,,,
SSv2/20bn-something-something-v2/198255.webm,Dropping something into something,198255,ssv2,,,,,,
SSv2/20bn-something-something-v2/190541.webm,Moving part of something,190541,ssv2,,,,,,
SSv2/20bn-something-something-v2/128580.webm,Folding something,128580,ssv2,,,,,,
SSv2/20bn-something-something-v2/43649.webm,Pretending to throw something,43649,ssv2,,,,,,
SSv2/20bn-something-something-v2/9827.webm,Pretending or trying and failing to twist something,9827,ssv2,,,,,,
SSv2/20bn-something-something-v2/186228.webm,Lifting something up completely without letting it drop down,186228,ssv2,,,,,,
SSv2/20bn-something-something-v2/30167.webm,Pulling something from behind of something,30167,ssv2,,,,,,
SSv2/20bn-something-something-v2/163643.webm,Poking something so lightly that it doesn't or almost doesn't move,163643,ssv2,,,,,,
SSv2/20bn-something-something-v2/216827.webm,Twisting something,216827,ssv2,,,,,,
SSv2/20bn-something-something-v2/56950.webm,Poking a hole into something soft,56950,ssv2,,,,,,
SSv2/20bn-something-something-v2/34278.webm,Moving something and something so they collide with each other,34278,ssv2,,,,,,
SSv2/20bn-something-something-v2/50131.webm,Pretending to sprinkle air onto something,50131,ssv2,,,,,,
SSv2/20bn-something-something-v2/97138.webm,Pretending to put something next to something,97138,ssv2,,,,,,
SSv2/20bn-something-something-v2/125504.webm,Pulling something from right to left,125504,ssv2,,,,,,
SSv2/20bn-something-something-v2/137971.webm,Letting something roll along a flat surface,137971,ssv2,,,,,,
SSv2/20bn-something-something-v2/82157.webm,"Trying to pour something into something, but missing so it spills next to it",82157,ssv2,,,,,,
SSv2/20bn-something-something-v2/129937.webm,Something falling like a rock,129937,ssv2,,,,,,
SSv2/20bn-something-something-v2/166559.webm,Throwing something in the air and letting it fall,166559,ssv2,,,,,,
SSv2/20bn-something-something-v2/179374.webm,Putting something next to something,179374,ssv2,,,,,,
SSv2/20bn-something-something-v2/13389.webm,Pretending to pick something up,13389,ssv2,,,,,,
SSv2/20bn-something-something-v2/150294.webm,Trying but failing to attach something to something because it doesn't stick,150294,ssv2,,,,,,
SSv2/20bn-something-something-v2/86162.webm,Spinning something that quickly stops spinning,86162,ssv2,,,,,,
SSv2/20bn-something-something-v2/157775.webm,Plugging something into something,157775,ssv2,,,,,,
SSv2/20bn-something-something-v2/158566.webm,Uncovering something,158566,ssv2,,,,,,
SSv2/20bn-something-something-v2/187996.webm,Trying to bend something unbendable so nothing happens,187996,ssv2,,,,,,
SSv2/20bn-something-something-v2/55011.webm,Moving something away from the camera,55011,ssv2,,,,,,
SSv2/20bn-something-something-v2/49501.webm,Showing something on top of something,49501,ssv2,,,,,,
SSv2/20bn-something-something-v2/76132.webm,Putting something underneath something,76132,ssv2,,,,,,
SSv2/20bn-something-something-v2/166532.webm,Pretending to put something behind something,166532,ssv2,,,,,,
SSv2/20bn-something-something-v2/165711.webm,Failing to put something into something because something does not fit,165711,ssv2,,,,,,
SSv2/20bn-something-something-v2/30567.webm,Pushing something so it spins,30567,ssv2,,,,,,
SSv2/20bn-something-something-v2/65974.webm,Poking something so that it falls over,65974,ssv2,,,,,,
SSv2/20bn-something-something-v2/127836.webm,Pushing something off of something,127836,ssv2,,,,,,
SSv2/20bn-something-something-v2/116204.webm,Pretending to turn something upside down,116204,ssv2,,,,,,
SSv2/20bn-something-something-v2/157890.webm,Lifting a surface with something on it until it starts sliding down,157890,ssv2,,,,,,
SSv2/20bn-something-something-v2/46983.webm,Turning the camera downwards while filming something,46983,ssv2,,,,,,
SSv2/20bn-something-something-v2/73384.webm,Moving something and something away from each other,73384,ssv2,,,,,,
SSv2/20bn-something-something-v2/167060.webm,Approaching something with your camera,167060,ssv2,,,,,,
SSv2/20bn-something-something-v2/6493.webm,Tearing something just a little bit,6493,ssv2,,,,,,
